,battery_charge,generation_to_usage_ratio,initial_suprlus_and_storage_to_usage_ratio,if_taken_from_public_grid,exchange_price,if_taken_from_storage,if_taken_from_surplus,class
0,0.0,0.13446367166418668,0.45412623554778625,1,0.5107,1,1,3.0
1,0.0,0.27972316499308636,0.2708222457116126,1,0.5757,1,1,0.2
2,0.0,0.0,0.24752933074573572,1,0.5747,1,1,1.0
3,0.0,0.0,0.6859853365018699,1,0.4881,1,1,2.4
4,0.0,0.0,0.6134561649395608,1,0.6791,1,1,2.4
5,0.854515222176266,0.2653711406776298,6.950773044503273,0,0.6893,1,1,1.0
6,0.6183467750049654,0.0,53.09212707011527,0,0.5413,0,1,0.0
7,0.0,0.035495326664516096,0.5428598484014041,1,0.5394,1,1,3.0
8,0.5931145794388824,0.0,96.23964417671459,0,0.5229,0,1,0.0
9,0.0,0.01597813946680439,0.5638389467695641,1,0.713,1,1,0.0
10,0.4282037134578596,0.029389156720625524,4.706191418535333,0,0.6286,0,1,0.0
11,0.6317941225460081,0.05916158290388818,51.165852444898334,0,0.5972,0,1,0.0
12,0.5422278445539329,0.02050319906836186,89.38935576666587,0,0.6304,0,1,0.0
13,0.9976353786434585,0.0,60.600333895118474,0,0.5594,0,1,0.0
14,0.7806788234426042,0.0,66.40717349485877,0,0.6437,0,1,0.0
15,0.3664441634032241,0.0,69.17392417449561,0,0.5681,0,1,0.0
16,0.9136331423565148,2.4380364568449164,57.35619280594105,0,0.6283,0,1,0.0
17,0.15561694361119197,0.30835549651175964,0.9885750743756466,0,0.5263,1,1,1.0
18,0.35310248202111605,0.0,2.443221822329605,0,0.7243,1,1,0.0
19,0.0,0.12158735399836589,0.4912861268243672,1,0.522,1,1,3.0
20,0.0,0.0,0.9535853121180106,1,0.5292,1,1,0.8
21,0.0,0.1790410194381315,0.42563671612758763,1,0.5646,1,1,1.6
22,0.3033324298673444,0.0,49.659412120426836,0,0.5824,0,1,0.0
23,0.0,0.20622069634861798,0.3574790362287463,1,0.5971,1,1,0.0
24,0.0,0.10213045884629884,0.7152943926421202,1,0.7009,1,1,0.0
25,0.2575541942057799,0.0,1.4741606987822644,0,0.6995,1,1,0.0
26,0.2795259431356558,0.12706236727091982,1.2622819804176013,0,0.5377,1,1,0.0
27,0.42984939648936094,0.35247973524733417,2.6351637380698913,0,0.5081,0,1,0.0
28,0.5905561693782445,0.1357638807096288,2.20795117632492,0,0.6563,0,1,1.6
29,0.0,0.17670518390962828,0.44375099276997476,1,0.5185,1,1,0.0
30,0.0,0.0,0.4551601588959639,1,0.6292,1,1,3.0
31,0.09820702554810942,0.1658110783806322,1.0873968358921557,0,0.6879,1,1,0.8
32,0.0,0.0,0.9209773046476711,1,0.6078,1,1,2.2
33,0.0,0.012792448396487808,0.8954033959999146,1,0.6227,1,1,3.0
34,0.26164460063974054,0.10034666147076544,1.4262502291909844,0,0.5629,1,1,0.2
35,0.5279922807546421,0.0,67.0084447413717,0,0.5831,0,1,0.0
36,0.07461905093264445,0.0,1.1268598411401192,0,0.6036,1,1,3.0
37,0.9999975000062501,0.0,74.40309832455628,0,0.522,0,1,0.0
38,0.0,0.0,1.1162243932187212,1,0.6859,1,1,3.0
39,0.5620480054227774,0.031228330573240426,1.8574734860677116,0,0.695,1,1,0.0
40,0.1442258018950128,0.10545492492654855,1.2653795560927874,0,0.5468,1,1,3.0
41,0.6436529724828539,0.08808934328678074,2.017208908337574,0,0.5636,1,1,0.0
42,0.0,0.0,0.13451718115905506,1,0.7198,1,1,0.0
43,0.9999975000062501,0.0,67.02325423916808,0,0.5437,0,1,0.0
44,0.9560649951144767,0.0,127.50547235660207,0,0.5664,0,1,0.0
45,0.5767235530149796,0.2851833833725905,2.9817422032719594,0,0.5413,0,1,0.4
46,0.49364648649865783,0.0,1.71721538591064,0,0.6645,1,1,2.8
